abat-jour	 abatjour
tee-shirts	 teeshirts
tee-shirt	 teeshirt
tel-aviv	 telaviv
temps-ci	 tempsci
terre-plein	 terreplein
tête-à-tête	 têteàtête
tête baissée	 têtebaissée
tic-tac	 tictac
tire-au-flanc	 tireauflanc
tire-bouchon	 tirebouchon
tire-d’aile	 tiredaile
tohu-bohu	 tohubohu
tombé amoureux	 tombéamoureux
tombée amoureuse	 tombéeamoureuse
tord-boyaux	 tordboyaux
tourne-disque	 tournedisque
toute-puissance	 toutepuissance
toute-puissante	 toutepuissante
train-train	 traintrain
trench-coat	 trenchcoat
trente-cinq	 trentecinq
trente-cinquième	 trentecinquième
trente-deux	 trentedeux
trente-huit	 trentehuit
trente-neuf	 trenteneuf
trentequatre	 trentequatre
trente-sept	 trentesept
trente-sixième	 trentesixième
trente-six	 trentesix
trente-troisième	 trentetroisième
trente-trois	 trentetrois
trois-mâts	 troismâts
trompe-l’œil	 trompelœil
t-shirt	 tshirt
tue-tête	 tuetête
va-et-vient	 vaetvient
vice-préfet	 vicepréfet
vice-président	 viceprésident
vice-roi	 viceroi
vif-argent	 vifargent
vingt-cinquième	 vingtcinquième
vingt-cinq	 vingtcinq
vingt-deuxième	 vingtdeuxième
vingt-deux	 vingtdeux
vingt-huit	 vingthuit
vingt-neuf	 vingtneuf
vingt-quatre	 vingtquatre
vingt-sept	 vingtsept
vingt-six	 vingtsix
vingt-trois	 vingttrois
visage pâle	 visagepâle
vis-à-vis	 visàvis
voie ferrée	 voieferrée
voix basse	 voixbasse
voix douce	 voixdouce
volte-face	 volteface
wagon-lit	 wagonlit
wagon-restaurant	 wagonrestaurant
week-ends	 weekends
week-end	 weekend
yeux baissés	 yeuxbaissés
yeux brillaient	 yeuxbrillaient
yeux brillants	 yeuxbrillants
yeux écarquillés	 yeuxécarquillés
yeux fixés	 yeuxfixés
yeux levés	 yeuxlevés
yeux sombres	 yeuxsombres
